region,line,color,spw,channel,x_pix,y_pix,amplitude,amplitude_error,x_mean,x_mean_error,y_mean,y_mean_error
"CA3","(7,6)","tab:cyan",6,50,144,215,2.35845739e-01,2.535924575e-02,2.90917076e+02,8.806292325e-07,1.45182317e+01,8.653174454e-07
"CA3","(7,6)","tab:cyan",6,59,144,215,2.586604639e-01,3.405496540e-02,2.909170772e+02,1.182598187e-06,1.451823226e+01,1.162035967e-06
"CA3","(7,6)","tab:cyan",6,68,144,215,3.672272278e-01,4.305534102e-02,2.909170774e+02,1.495146673e-06,1.451823164e+01,1.469150071e-06
"CA3","(7,7)","tab:olive",28,49,144,215,4.859958927e-02,1.180522634e-02,2.909170769e+02,1.924255958e-06,1.451823057e+01,1.890798293e-06
"CA3","(7,7)","tab:olive",28,59,144,215,5.808394127e-01,2.411697011e-02,2.909170758e+02,3.468601971e-07,1.451823139e+01,3.351125263e-07
"CA3","(7,7)","tab:olive",28,69,144,215,2.328139986e-01,1.545583291e-02,2.909170758e+02,5.508979484e-07,1.451823145e+01,5.322398037e-07
"W51North","(11,9)","tab:pink",41,52,407,413,8.459471183e-02,1.408676969e-02,2.909168239e+02,1.388016614e-06,1.451822304e+01,1.341006429e-06
"W51North","(11,9)","tab:pink",41,55,365,397,4.168832207e-02,1.35809576e-02,2.909169887e+02,2.749045624e-06,1.451816011e+01,2.655939284e-06
"CA3","(11,9)","tab:pink",41,114,344,415,3.914154549e-01,3.816536064e-02,2.909170756e+02,7.631186912e-07,1.451823121e+01,7.372729260e-07
"d2","(5,3)","tab:blue",44,74,638,356,4.33355425e-01,4.721546819e-02,2.909158953e+02,8.525797721e-07,1.451800069e+01,8.23704085e-07
"d2","(5,3)","tab:blue",44,83,630,358,7.621680775e-02,1.754820801e-02,2.909159252e+02,1.522887848e-06,1.451800902e+01,1.410562074e-06
"d2","(6,2)","tab:orange",50,79,637,359,3.830625989e-02,7.563965547e-03,2.909158959e+02,3.290392858e-06,1.451800972e+01,3.290584982e-06
"d2","(6,3)","tab:green",56,271,638,356,7.833156818e-01,4.610519943e-02,2.909158951e+02,5.086565655e-07,1.451800154e+01,4.310262155e-07
"d2","(6,3)","tab:green",56,279,630,358,1.325633285e-01,1.150109455e-02,2.909159262e+02,8.138209576e-07,1.451800926e+01,6.896169071e-07
"d2","(7,4)","tab:red",53,81,637,358,4.66965535e-02,8.699766666e-03,2.909158983e+02,1.412286486e-06,1.451800856e+01,1.364454314e-06
"d2","(7,5)","tab:purple",38,34,637,358,2.447138962e+00,1.435750420e-01,2.909158980e+02,6.827315870e-07,1.451801054e+01,5.995417972e-07
"d2","(8,5)","tab:gray",48,79,637,358,1.150051053e-01,6.610164693e-03,2.909158985e+02,8.760192780e-07,1.451800943e+01,7.855903443e-07
"d2","(9,8)","tab:brown",8,84,637,358,1.74566187e-01,2.320267759e-02,2.909158972e+02,9.440179252e-07,1.451800908e+01,1.053997321e-06
